config,member,step,lead_time_hours,global_mean_t2m,global_mean_msl,global_mean_sp,global_mean_tcwv,global_mean_z500,global_mean_kinetic_energy
brown_0.01,0,0,0.0,289.7088317871094,101154.640625,98586.484375,27.262474060058594,55954.65625,28.030807495117188
brown_0.01,0,1,6.0,289.9397277832031,101147.921875,98586.4921875,27.53135871887207,55953.76171875,27.229013442993164
brown_0.01,0,2,12.0,290.43695068359375,101138.03125,98589.71875,27.46768569946289,55964.64453125,26.543458938598633
brown_0.01,0,3,18.0,290.22723388671875,101137.0390625,98593.6484375,27.575010299682617,55971.3125,26.836952209472656
brown_0.01,0,4,24.0,289.69952392578125,101138.4296875,98595.734375,27.560747146606445,55968.69921875,26.27693748474121
brown_0.01,0,5,30.0,290.0235290527344,101134.765625,98598.90625,27.67137908935547,55965.984375,26.5274715423584
brown_0.01,0,6,36.0,290.4718933105469,101129.796875,98602.1171875,27.584550857543945,55975.2734375,25.672222137451172
brown_0.01,0,7,42.0,290.265869140625,101132.0546875,98604.8828125,27.64912223815918,55980.69921875,25.84641456604004
brown_0.01,0,8,48.0,289.7165222167969,101136.1640625,98605.8203125,27.598011016845703,55974.78515625,25.169689178466797
brown_0.01,0,9,54.0,290.0494689941406,101134.453125,98607.921875,27.69820785522461,55968.59765625,25.373701095581055
brown_0.01,0,10,60.0,290.4617614746094,101131.59375,98610.25,27.611230850219727,55974.65625,24.43468475341797
brown_0.01,0,11,66.0,290.2579650878906,101134.9453125,98611.78125,27.674346923828125,55978.125,24.474895477294922
brown_0.01,0,12,72.0,289.7143249511719,101139.921875,98611.7734375,27.639381408691406,55971.33203125,23.671201705932617
brown_0.01,0,13,78.0,290.026123046875,101138.7734375,98612.3046875,27.743799209594727,55964.38671875,23.82696533203125
brown_0.01,0,14,84.0,290.421630859375,101135.6328125,98613.125,27.66399383544922,55969.74609375,23.176755905151367
brown_0.01,0,15,90.0,290.2168273925781,101138.75,98613.7421875,27.721147537231445,55971.7109375,23.38231086730957
brown_0.01,0,16,96.0,289.6981506347656,101143.421875,98612.9921875,27.670045852661133,55962.93359375,22.707618713378906
brown_0.01,0,17,102.0,290.00323486328125,101141.5,98612.671875,27.752201080322266,55953.23046875,22.957998275756836
brown_0.01,0,18,108.0,290.4021911621094,101136.859375,98612.6484375,27.667320251464844,55956.5703125,22.380826950073242
brown_0.01,0,19,114.0,290.2062072753906,101139.15625,98613.0234375,27.72998809814453,55957.29296875,22.75550651550293
brown_0.01,0,20,120.0,289.6675720214844,101143.21875,98611.8359375,27.70440673828125,55948.1484375,22.397350311279297
brown_0.01,1,0,0.0,289.7032470703125,101154.9140625,98586.390625,27.261850357055664,55954.24609375,28.055837631225586
brown_0.01,1,1,6.0,289.9341125488281,101148.25,98586.390625,27.53166961669922,55953.76953125,27.136472702026367
brown_0.01,1,2,12.0,290.430419921875,101138.5625,98589.546875,27.460247039794922,55964.75390625,26.477970123291016
brown_0.01,1,3,18.0,290.2259826660156,101137.296875,98593.40625,27.561338424682617,55971.5625,26.76304817199707
brown_0.01,1,4,24.0,289.69598388671875,101138.515625,98595.4609375,27.546438217163086,55968.8046875,26.212892532348633
brown_0.01,1,5,30.0,290.0221862792969,101134.7578125,98598.640625,27.656278610229492,55966.0625,26.47987174987793
brown_0.01,1,6,36.0,290.4757080078125,101129.6640625,98601.8203125,27.56903648376465,55975.25,25.634675979614258
brown_0.01,1,7,42.0,290.2688903808594,101131.8359375,98604.59375,27.638065338134766,55980.5390625,25.812702178955078
brown_0.01,1,8,48.0,289.71759033203125,101135.9609375,98605.6328125,27.587312698364258,55974.60546875,25.138568878173828
brown_0.01,1,9,54.0,290.0514221191406,101134.2578125,98607.7734375,27.689268112182617,55968.42578125,25.3447322845459
brown_0.01,1,10,60.0,290.46600341796875,101131.4296875,98610.2265625,27.604040145874023,55974.375,24.41350746154785
brown_0.01,1,11,66.0,290.2626953125,101134.7421875,98611.8671875,27.671405792236328,55977.84765625,24.460044860839844
